서비스명,지원내용,신청기한,문의처,신청방법,접수기관명,지원유형,지원대상,선정기준,URL,구비서류,tags
산촌생태마을 운영매니저 일자리 제공,"○ 산촌 생태마을 운영매니저 인건비 보조(국비50%, 지방비50%)",접수기관 별 상이,해당지역 시군구청/042-481-4245,"산촌생태마을이 있는 해당 시군에서 당해 연도말 또는 다음연도 초에 일정한 기간을 정하여 지자체 홈페이지, 게시판 등에 모집공고 등 공개채용절차 추진",시·군·구청,현금,○ 산촌생태마을 또는 산촌생태마을협의회,"○ 산촌생태마을을 관리, 운영할 수 있는 만18세 이상인 자로서 상근직으로 업무가 가능한 자
○ 동일한 조건인 경우 매니저 교육과정 이수자, 산림관련 자격증 소지자 등을 우선적으로 채용",,해당 시군 채용공고 참고,"['청년', '주거안정', '창업지원', '저소득층', '대출', '신혼부부', '장애인']"
백두대간 산림소유자 소득감소분 지원,○ 입목을 벌채하여 판매할 경우에 얻을 수 있는 예상수익금의 이자상당액,접수기관 별 상이,해당지역 시군구청/000-0000-0000,산림소재지 시장·군수에게 소득감소분 지원신청서 서류 제출,산림소재지 관할 시.군 산림부서,현금,"○ (백두대간법 제11조의2 제1항 제5호) 백두대간의 생태계ㆍ자연경관의 보전 또는 산림의 보호·육성을 위하여 벌채를 하지 아니하는 자 등 대통령령으로 정하는 요건에 해당하는 자
○ (백두대간법 시행령 제11조의3)
- 보호지역 지정 당시 산지관리법 제4조제1항제1호 나목의 규정에 의한 공익용산지 또는 산림자원법시행령 제41조에 다른 입목벌채제한지역 안에 있지 아니할 것
- 입목의 평균 수령이 산림자원법시행령 제9조제3항에 따른 기준벌기령 이상일 것",○ 백두대간의 생태계ㆍ자연경관의 보전 또는 산림의 보호·육성을 위하여 벌채를 하지 아니하는 자 등 대통령령으로 정하는 요건에 해당하는 자,,"○ 입목등기부등본
○ 토지이용계획확인서 : 행정정보의 공동이용을 통하여 시장ㆍ군수가 확인
○ 토지대장(임야인 경우 임야대장) : 행정정보의 공동이용을 통하여 시장ㆍ군수가 확인","['산림소유자', '소득감소분', '백두대간', '벌채', '예상수익금', '입목', '산림보호']"
숲가꾸기 사업 지원,"○ 국고보조금 지원 대상 숲가꾸기사업
- 풀베기, 덩굴제거, 어린나무가꾸기, 솎아베기, 산불예방숲가꾸기, 공익림가꾸기 등",연중,산림청 산림자원과/042-481-4157,"○ 시군구 산림부서 방문, 우편, 온라인",시·군·구청,현금,숲가꾸기를 희망하는 산림소유자,○ 산림청의 지속가능한 산림자원 관리 지침 참고 (목차: V.5. 국고보조금 지원 대상 산림사업 -> 나. 숲가꾸기 ),https://www.forest.go.kr/,신청서,"['산림소유자', '숲가꾸기', '국고보조금', '산불예방', '공익림', '풀베기']"
조림 지원,○ 경제림조성 사업비 지원(국비60% : 지방비30% : 자부담10%),연중,산림청 산림자원과/042-481-1205||서울특별시 자연생태과/02-2133-2161||부산광역시 산림정책과/051-888-3861||대구광역시 산림녹지과/053-803-8724||인천광역시 녹지정책과/032-440-3684||대전광역시 산림녹지정책과/042-270-5557||울산광역시 녹지공원과/052-229-3355||세종특별자치시 산림공원과/044-300-4415||경기도 산림녹지과/031-8030-3562||강원특별자치도 산림정책과/033-249-3153||충청북도 산림녹지과/043-220-3802||충청남도 산림자원과/041-635-4507||전라북도특별자치도 산림자원과/063-280-2663||전라남도 산림자원과/061-286-7531||경상북도 산림정책과/054-880-3602||경상남도 산림관리과/055-211-6824||제주특별자치도 산림녹지과/064-710-6772,"○ 시군구 산림부서,
국유림관리소 방문, 우편",시·군·구청,현금(융자),○ 조림을 희망하는 산림소유자,○ 산림에 조림을 실행하는 자,,신청서,"['청년', '주거안정', '창업지원', '대출', '산림소유자', '경제림조성', '지원']"
목재이용명예 감시원 일자리 제공,"○ 활동수당(5만원/1일), 교육비, 여비, 감시 물품 등 지원
○ 2024년부터 목재이용명예감시원 미운영(관련 예산 없음)",지방산림청(국유림관리소)별로 모집(2~3월)(2024년 미운영),산림청 민원대표번호/1588-3249,"○ 신청절차 : 신청서 작성(신청인) → 접수 → 검토확인(처리기관 : 시도, 시군구, 지방산림청) → 결재 → 목재이용명예 감시원증 발급
○ 위촉권자 : 시도지사(시군구청장) 및 지방산림청장
○ 위촉기간 : 3년, 위촉기간 만료 후 재위촉 가능",사업을 추진하는 지방산림청(국유림관리소),현금,"○ 소비자·생산자 단체 및 비영리법인의 회원·직원(장의 추천)
○ 자원봉사자(목재제품의 유통에 관심이 있는 자 등)
○ 산림청의 설립허가를 받은 법인의 회원·직원(법인의 장 추천)","○ 소비자 생산자 단체 및 비영리법인의 회원, 직원 중 해당 단체 및 법인 장의 추천을 받은자, 자원봉사자",,"○ 주민등록증 사본 1부.
○ 유효기간이 만료되지 않은 목재 이용 명예 감시원증 원본(재위촉을 받으려는 경우만 해당함)","['일자리 제공', '목재이용명예 감시원', '지원대상', '자원봉사자', '산림청', '활동수당', '교육비']"
임도 지원,"○ 국고 70%, 지방비 20%, 자부담 10%
- 임도신설
· 간선임도 : 278백만원/km
· 산불진화임도 : 334백만원/km",접수기관 별 상이,산림청 민원대표번호/1588-3249,해당 지방자치단체 산림(임도) 담당 부서에 신청,시·군·구청,기타,"○ 지방자치단체(시.도, 시.군.구)",지원대상과 동일,,해당없음,"['지방자치단체', '임도 지원', '국고', '지방비', '자부담']"
임산물 수출 지원,"○ 박람회, 해외판촉, 바이어 초청, 수출패키지 지원, 포장디자인 개발, 안전성 관리, 기계장비 구입, 수출협의회 및 통합조직 육성, 수출선도조직, 수출특화시설 지원 등",지원사업별 공모기간에 따름,산림청 민원대표번호/1588-3249,"사업시행기관(산림조합중앙회, 한국농수산식품유통공사, 한국임업진흥원) 우편접수",산림청,현금,○ 임산물 수출업체 및 생산자,○ 수출실적 등,,지원사업별 공모기준에 따름,"['수출', '임산물', '해외판촉', '박람회', '수출업체', '포장디자인', '수출특화시설']"
산사태현장예방단 일자리 제공,"○ 임금 : 73,280원/일
○ 주요업무
- 산사태취약지역 현장점검 및 응급조치
- 산사태취약지역 내 주민 대상 행동요령 홍보 및 대피 지원",수행 기관 공고에 따름,산림청 민원대표번호/1588-3249,"국가(국유림관리소 등) 또는 지자체(시군 산림부서 등)에 방문, 우편, 전화, fax 이메일 등 공고내용에 따라 신청","산림청 소속기관(국유림관리소), 지자체(시ㆍ군ㆍ구) 산림부서",현금,"○ 만20세 이상인 자로서 정기소득이 없는자
- (우선순위) 취업취약계층, 관할 지역주민으로 해당 지역 지리를 잘 아는자 등",○ 서류전형 및 면접,,"○ 사업 신청서 : 접수처별로 비치
○ 주민등록등본 : 세대주 또는 부양가족 확인용
○ 구직등록증(해당 사업 대상자에 한함)
○ 자격증 사본 등(해당 사업 대상자에 한함)
- (기타 구비서류는 공고에 따라 제출)","['청년', '저소득층', '일자리', '산사태현장예방단', '취업취약계층', '지역주민', '응급조치']"
임산물 소비촉진 사업 지원,"○ 소비촉진 직거래장터 운영
○ 우수임산물 전시회 지원
○ 소비촉진 교육지원 등",접수기관 별 상이,산림청 산림산업정책국 사유림경영소득과/042-481-1848,"산림청 사유림경영소득과 제출(직접, 우편)",산림청,현금,○ 단기소득임산물 관련 산림청 등록 단체,"○ 선정심의회를 구성하여 신청협회기관의 규모 및 취급 품목 등 사업 추진 적합성, 사업계획의 타당성, 예산집행의 효율성 등을 평가하여 선정함",,공모사업 신청서 1부,"['임산물', '소비촉진', '산림청', '직거래장터', '전시회', '교육지원']"
산림분야 사회적경제기업 지원,산림분야 사회적경제기업으로 전환 희망 기업 상담 등 간접 지원,공고 시,산림안전보건일자리팀/042-481-1855,"o 사회적협동조합 설립인가 : 설립인가 신청서 및 서류를 등기로 제출
o 예비사회적기업 지정: 매년 2~3회 예비사회적기업 지정심사 위원회를 개최하므로 공고문 참조하여 제출",산림청(산림안전보건일자리팀),기타,"o 전환이전 : 산림분야 사회적경제기업 전환 또는 사회적경제 진입을 희망하는 기업
o 전환이후 : 사회적경제기업 운영을 위한 상담 등이 필요한 기업",산림청 및 한국사회적기업진흥원 홈페이지에 게시되는 사업별 공고문 참조,http://www.seis.or.kr,산림청 및 한국사회적기업진흥원 홈페이지에 게시되는 사업별 공고문 참조,"['산림분야', '사회적경제기업', '전환', '상담', '지원', '운영', '진입']"
국립수목원 교육프로그램 제공,"○ 개인신청 프로그램 : 수목원 해설, 숲이오래 주말, 산림교육전문가양성 실습
- 수목원해설, 숲이오래 주말: 국립수목원 입장 예약 후 방문 후 방문객 안내센터에서 선착순 신청
- 산림교육전문가양성 실습: 산림교육전문가(숲해설가)양성과정 중 교육과정의 60%이상 이수한 자
- 운영기간 :
수목원 해설 : 연중 (기관 사정에 따른 휴무일은 홈페이지에 게시)
숲이오래 주말,산림교육전문가양성 실습 : 4월~10월 (*입장예약 및 주차문의 필요)
○ 기관신청 프로그램 : 숲이오래I(5세~7세), 숲이오래II(8세~9세), 산림생물학교I(10세~11세), 산림생물학교II(12세~13세), 산림생물학교III(14세~19세)
- 기관 담당자가 신청 기간에 국립수목원 교육홈페이지를 통해 신청
- 운영기간 : 4월~10월
- 입장예약 및 주차문의 필요",상시신청,국립수목원/031-540-1035,"○ 당일 참가 프로그램 : 국립수목원 > 방문 안내 > 예약하기에서 예약 후 방문, 방문자 안내센터에서 선착순 신청
○ 입장 예약 : http://www.kna.go.kr/knaf/user/resve/selectResveCldr.do
○ 입장 예약 참고 : 국립수목원 입장시간 및 관람시간
- 개원일 : 화요일 ~ 일요일, 휴원일: 월요일, 1월 1일, 설, 추석 연휴
- 4월~10월(하절기) : 입장시간 09:00~17:00, 관람시간 09:00~18:00
- 11월~3월(동절기) : 입장시간 09:00~16:00, 관람시간 09:00~17:00
* 화~금요일 : 1일 5천 명, 토요일 및 개원일과 겹친 공휴일: 1일 3천 명까지 사전예약을 통해 입장할 수 있습니다.
○ 사전 신청 프로그램 : 국립수목원 산림교육관리 시스템(www.kna.go.kr) 공지사항에서 프로그램별 신청 안내 확인,
단체, 기관, 개인 등 온라인 예약",산림청,기타||기타(교육),"○ 장애인 , 학생 , 군인/보훈대상자 , 다문화 , 일반
○ 개인신청 프로그램 : 사전 입장 예약 후 방문하여 방문객 안내센터에서 선착순 신청하신 분(수목원 해설, 숲이오래 주말)
산림교육전문가양성 실습- 산림교육전문가과정(숲해설가) 교육생 중 60%이상 이수자는 온라인 사전 신청 하여야 함
○ 기관신청 프로그램 : 유치원, 학교, 시설 등 단체 중 온라인 사전 신청하신 분","○ 장애인 , 학생 , 군인/보훈대상자 , 다문화 , 일반
○ 개인신청 프로그램 : 사전 입장 예약 후 방문하여 방문객 안내센터에서 선착순 신청하신 분(수목원 해설, 숲이오래 주말)
산림교육전문가양성 실습- 산림교육전문가과정(숲해설가) 교육생 중 60%이상 이수자는 온라인 사전 신청 하여야 함
○ 기관신청 프로그램 : 유치원, 학교, 시설 등 단체 중 온라인 사전 신청하신 분",https://www.kna.go.kr/knaf,"○ 장애인: 장애인증, 장애인 복지카드 등
○ 군인 : 공무원증 등 관련서류
○ 국가유공자 및 가족 등 보훈대상자: 국가유공자증, 국가유공자유족증
○ 국민기초생활수급자, 다문화가정: 기초생활대상자 증명서류 등 관련서류","['장애인', '교육프로그램', '산림교육', '온라인신청', '국립수목원', '학생', '다문화']"
목재펠릿 사후관리 모니터링,"목재펠릿 보일러 A/S 콜센터 서비스
- 목재펠릿 보일러 설치 완료된 날로부터 3년간 사후관리 방안에 따라 무상A/S 및 유상 A/S 가능
- 제품의 교환, 환급, 수리 등을 원하는 경우 서비스 접수 및 처리 이관",상시신청,한국임업진흥원/02-6393-2644,한국임업진흥원 유선 A/S 센터,,기술지원||기타(상담),"산림청 목재펠릿연소기 보급사업에 따라, 목재펠릿 보일러, 난로를 설치한 가정 및 사회복지시설(산림청 지원)","산림청 목재펠릿연소기 보급사업에 따라, 목재펠릿 보일러, 난로를 설치한 가정 및 사회복지시설(산림청 지원)",,"유선으로 접수하며, 별도 서식 없음","['목재펠릿', '사후관리', '보일러', 'A/S', '산림청', '가정', '사회복지시설']"
산림보호지원단 일자리 제공,"○ 산림 내 불법행위 계도･감시 및 산림보호 업무보조(현장근무)
○ 산림 내 정화활동(현장근무)",접수기관 별 상이,산림청/042-481-4067,"○ 방문, 우편접수 등
○ 채용기관별로 모집공고 상이하므로, 자세한 사항은 산림청 홈페이지 채용 게시판 확인",,서비스(일자리),"신청일 현재 만18세 이상인 자
(자세한 내용은 산림청 홈페이지 채용게시판에서 '산림보호지원단' 검색)",2024년 산림청 직접일자리사업 종합지침 및 채용기관별(국유림관리소) 모집공고에 따름,,채용기관별 모집공고 참조,"['청년', '일자리', '산림보호', '불법행위', '보조', '정화활동']"
민간어린이집 실내환경 개선 지원(국산목재),"어린이집 실내환경을 국산목재로 개선
- 우리나라에 심고 가꾸어 수확한 나무로 만든 국산목재 제품만 사용 가능",접수기관 별 상이,산림청 목재산업과/042-481-8805,'어린이 이용시설 목조화사업 공모계획'에 명시된 사업신청서 및 첨부서류를 작성하여 시·군·구청에 제출,,현금,「영유아보육법」제10조의 어린이집,"다음 조건을 모두 충족하는「영유아보육법」제10조의 어린이집
- 법인·단체 등 어린이집, 직장어린이집, 가정어린이집, 협동어린이집, 민간어린이집
* 국가 또는 지방자치단체의 장이 소속 공무원을 위하여 설치·운영하는 직장어린이집 제외
- 연면적 300㎡ 이상 어린이집
- 신청일 기준 어린이집 석면조사 실시결과 미검출 어린이집",,"'어린이 이용시설 목조화 사업 공모계획'에 명시된 제출서류(사업신청서, 사업계획서, 건물 등기사항 증명서류, 석면조사 결과보고서 등)","['어린이집', '실내환경', '국산목재', '영유아보육법', '환경개선']"
다중이용시설 실내환경 개선(국산목재),"지역 다중이용시설의 노후 실내환경을 국산목재로 개선
* 우리나라에 심고 가꾸어 수확한 나무로 만든 국산목재 제품만 사용",사업연도 2월,산림청 목재산업과/042-481-8805,"지자체(시·도)는 '다중이용시설 실내목질화사업 공모계획'에 따른 사업신청서 및 첨부서류를 작성하여, 산림청에 제출",,현금,공공건축물 중 준공 후 10년 이상 경과한 다중이용시설,"지방자치단체의 장이 소유 또는 관리하는 건축물(연면적 1천㎡ 이상)로서 최초 사용승인을 받은 후 10년 이상 경과
- 시설유형 : 보건소, 의료기관, 도서관, 박물관, 미술관, 주민편의시설 등
- 국가 또는 지방자치단체에서 운영비를 일부 지원하고 있는 비영리법인 또는 이와 유사한 단체(기관)에서 소유하고 있는 건축물은 제외",,"'다중이용시설 실내목질화사업 공모계획'에 명시된 사업신청서 및 첨부자료(건축물 증빙자료, 이용객 운영현황 등)","['다중이용시설', '실내환경', '국산목재', '노후', '지원대상']"
1인 창조기업 지원센터,"○ 1인 창조기업이 안정적으로 사업화할 수 있도록 1인 창조기업 지원센터를 통해 사무공간, 네트워킹, 판로개척, 마케팅 등을 지원",접수기관 별 상이,창업진흥원 지역창업실/044-410-1924||창업진흥원 지역창업실/044-410-1926||창업진흥원 지역창업실/044-410-1930,"○ K-스타트업 홈페이지(www.K-startup.go.kr)에 접속-회원가입(개인 회원) 후 로그인
- 1인 창조 기업 정회원 신청하기
- 신청정보 입력 및 증빙자료 업로드
- 1인 창조기업 정회원 인증
- 1인 창조기업 지원센터 입주신청",창업진흥원 창업저변부,기타(교육)||현물,"○ 창의성과 전문성을 갖춘 1인 또는 5인 미만의 공동사업자로 상시근로자 없이 사업을 영위하는 자
- 1인 창조기업 육성에 관한 법률 제2조의 (예비) 1인 창조기업","○ 1인 창조기업 지원센터 입주기업 심사기준
- 창업자의 창의성 및 전문성
- 사업계획의 적정성, 기술성, 시장성
- 기타 입주신청 사유 및 활동계획의 적정성 등",http://www.K-startup.go.kr,"사업계획서, 기타 증빙서류","['창업지원', '1인 창조기업', '사무공간', '네트워킹', '판로개척']"
중소기업 특성화고 인력양성 지원,"특성화고등학교에 중소기업 맞춤형 교육 및 취업연계에 필요한 취업맞춤반, 중소기업 이해연수 등 교육 프로그램 운영비 지원
* 교육 프로그램: ①취업(산학)맞춤반 ②1팀 1기업 프로젝트 ③교수학습자료 개발 ④중소기업 이해연수 ⑤진로지도 프로그램 ⑥교원직무 연수 ⑦전공동아리 프로그램 ⑧현장학습 프로그램 ⑨외부전문가활용",사업공고에 따름,중소벤처기업진흥공단 인력양성팀/055-751-9863||중소벤처기업진흥공단 인력양성팀/055-751-9865,"○ 온라인 신청(중소기업 인력지원 종합관리시스템/https://www.smes.go.kr/sanhakin)
○ 신청접수->현장평가->발표평가->선정 및 지원",중소벤처기업진흥공단,서비스(일자리),○ 초중증교육법시행령 제91조의 특성화고 및 중소기업,"○ 중소기업 수요가 있는 모든 산업분야의 인력양성이 가능한 특성화고등학교
○ 중소기업( 단, 중소기업인력지원특별법 시행령 제2조의 유흥 · 주점업 등은 제외 )",https://www.smes.go.kr/sanhakin,중소기업 특성화고 인력양성사업 계획서,"['중소기업', '교육프로그램', '취업맞춤반', '취업연계', '인력양성', '특성화고', '지원대상']"
중소기업 내일채움공제(핵심인력 성과보상기금) 지원,"○ 중소기업 사업주와 핵심인력, 정부가 공동으로 적립한 공제금을 3년 이상 장기 재직한 핵심인력에 성과보상금 형태로 지급하는 공제
- 공제 가입자에 대한 교육, 복지 서비스 제공
* 내일채움공제, 중소기업 재직자 우대 저축공제",연중수시,내일채움공제 콜센터 성과보상사업처/1588-6259,"○ 방문 신청 : 중소기업진흥공단 31개 지역본(지)부, 기업, 신한, 우리은행을 방문하여 공제계약 청약 신청서 접수
○ 온라인 신청 : 홈페이지(http://www.sbcplan.or.kr)에 공인인증서로 로그인하여 공제계약 청약신청",내일채움공제 콜센터,현금,"○ 부동산업, 유흥주점 및 사행업 등 일부 업종을 제외한 모든 중소기업 수급 자격만 갖추면 공제 가입 가능","○ (내일채움공제) 중소ㆍ중견기업에 재직 중인 근로자의 경우 공제 가입 가능
○ (중소기업 재직자 우대 저축공제) 중소기업에 재직 중인 근로자의 경우 공제 가입 가능",http://www.sbcplan.or.kr,"○ 방문 신청
-청약 신청서, 사업자등록증 사본, 법인 등기부 등본(법인 기업), 국세 납세증명서(기업주 또는 법인), 신분증(기업주, 핵심인력)
○ 온라인 신청
-청약 신청서(온라인 작성), 공인인증서(기업주 또는 법인, 핵심인력), 사업자등록증 사본, 국세 납세증명서(기업주 또는 법인)","['중소기업', '핵심인력', '성과보상', '교육', '복지서비스', '저축공제']"
중장년 기술창업센터,"○ 중장년 (예비)창업자 발굴 및 사업공간 제공, 교육, 보육 등 지원",접수기관 별 상이,창업진흥원 지역창업실/044-410-1921,K-스타트업 홈페이지(www.K-startup.go.kr) 참조,창업진흥원 창업저변부,기타(교육)||현물,만 40세 이상 (예비) 창업자,"중장년 기술 창업센터 입주기업 심사 기준 - 사업 계획서(업종 및 창업 동기, 기술 개발의 실현 가능성, 사업화 가능성, 파급효과, 매출 실현 가능성), 창업 역량(동업 종 경력, 사전 준비 및 교육실적)",http://www.K-startup.go.kr,회원가입 신청 및 사업계획서 등 제출,"['창업지원', '중장년', '사업공간', '교육', '보육']"
중소기업장기근속자주택우선공급,○ 주거 전용면적 85㎡ 이하인 국민･민영･공공주택 및 국민임대주택 등의 분양 또는 임대 우선권 부여,개별공고에 따라 신청,중소벤처기업부 인력정책과/044-204-7746,공고별 신청기간 내에 중소기업인력지원사업 종합관리시스템(https://www.smes.go.kr/sanhakin/) 온라인 접수,지방중소벤처기업청,기타,"○ 중소기업에 재직중인 근로자로서 중소기업에서 5년 이상 근무하거나 동일한 중소기업에 3년 이상 근무한 경력을 가지고 있는 무주택 세대구성원
* 과거 근무경력을 포함하여 중소기업 재직기간이 5년 이상(동일한 중소기업에 3년이상)이어야 하며, 4대보험 가입내역서 등으로 입증해야 함
* 공고한 날을 기준으로 무주택이어야 하며, 주택 보유사실 은폐·서류 위조 등의 경우 선정 및 계약 취소됨",○ 중소기업 재직기간과 기타 정책적 우대사항 등을 고려하여 추천,https://www.smes.go.kr/sanhakin/,"신청서, 서약서, 중소기업 4대보험 가입내역서 등
＊ 신청서류는 해당 지방중소벤처기업청 누리집 및 중소기업인력지원사업 종합관리시스템(https://www.smes.go.kr/sanhakin/) 공고문 참조","['주거안정', '저소득층', '대출', '신혼부부', '창업지원']"
공동A/S지원,공동 A/S 콜센터 및 전국 A/S 서비스망을 보유하고 있는 전문 수리대행사를 연계한 중소기업 제품 사용·교환 상담 및 수리 지원,세부 사업별 모집공고 확인,한국중소벤처기업유통원/02-6678-9323||한국중소벤처기업유통원/02-6678-9322,판판대로(fanfandaero.kr)를 통한 온라인 신청,중소기업 유통센터,기타||기타(상담),"○ 중소기업기본법 제2조에 따른 중소기업
▸제조업을 영위하고 소비재 완제품을 생산하면서 자체 A/S 시스템을 갖추지 못한 기업
○ 제외조건
- 수입제품, 주류(전통주 포함), 의약품, 소프트웨어, 대중견기업 제품(판매사가 중소기업이더라도 신청불가) 등
- 건설자재, 부품 등 중간재 및 의류, 일회성, 소모성 생활소비재 등 A/S 해당 여부를 판단하기 곤란하거나 A/S 수요가 현저히 낮은 제품
- 사업자등록증 상 ‘제조’ 미등록 기업
- 단순 유통 기업(렌털전문 기업 등) 등
* 자세한 사항은 사업 공고 내용을 확인","○ 선정평가: 적격심사 → 선정위원회
○ 선정평가 주요내용: 제품성, A/S 필요성 등",https://www.fanfandaero.kr,"○ 선정평가: 사업 참여 신청서, 중소기업확인서, 사업자등록증, 공장등록증, OEM 계약서 등
▸세부 일정 및 지원대상, 내용 등은 사업 공고문 참고","['중소기업', 'A/S지원', '수리대행사', '제조업', '소비재', '공동A/S', '전문수리']"
직업계고-전문대학 연계 기술사관 육성,"○ 학생 연수비, 실습재료비, 훈련지원금, 운영비 등 지원",접수기관 별 상이,중소벤처기업진흥공단 인력양성팀/055-751-9877,"○ 신청 방식
- 우편, 방문 또는 온라인 신청
○ 신청 절차
- (우편, 방문) 신청 서류를 작성하여 중소기업진흥공단(전담기관)*에 우편 또는 직접 방문 제출
* 경상남도 진주시 충무공동 16-4 중소기업진흥공단 5층 기업인력지원처
- (온라인) 중소기업인력지원 종합관리시스템(www.smes.go.kr/sanhakin) 제출",중소벤처기업진흥공단,현금,"○ 생산 기반기술, 지식 기반 서비스 분야 등 특성화고-전문대 연계 교육과정 운영이 가능한 사업단(직업계고+전문대)","○ (서류심사 : 중소벤처기업진흥공단) 사업단 신청요건 및 사업계획서 충족 확인
○ (현장평가 : 지역별 중소벤처기업청) 조직 및 인력 구성현황, 사업 이해도 및 참여 의지 등을 중점 평가
○ (발표평가 : 중소벤처기업진흥공단) 사업 추진체계, 교육 프로그램 개발․운영, 학생 지원활동 등을 심사하여 우선순위 결정
○ (최종선정 : 중소벤처기업부) 평가 결과가 일정점수(예시 : 60점 이상) 사업단을 대상으로 운영위원회 심의를 거쳐 신규사업단 최종 선정",www.smes.go.kr/sanhakin,"사업 신청서, 사업 계획서 및 첨부 서류 등 일체","['청년', '창업지원', '대출', '저소득층']"
판로진출지원,"ㅇ (온·오프라인 판로지원) 온·오프라인기획전, 홈쇼핑·데이터홈쇼핑 방송판매 등 온·오프라인 유통채널 진출 지원
ㅇ (중소기업제품 전용판매장) 면세점·백화점 등 중소기업제품 전용판매장의 입점·홍보·판매 지원
ㅇ (K-전략품목) 성장 가능성 높은 제품을 보유한 중소기업이 글로벌 기업으로 성장할 수 있도록 민관 협업 지원
ㅇ (판로지원플랫폼) 판로지원사업 공고안내·신청접수, 판로 관련 정보 등을 제공",지원사업 공고별 상이,한국중소벤처기업유통원/02-6678-9340,판판대로(fanfandaero.kr)를 통한 온라인 신청,중소기업 유통센터,기타,"○ 중소기업기본법 제2조 규정에 의한 중소기업
○ 제외조건
- 수입제품, 주류(단, 무형문화재/식품명인 제조 전통주류는 일부 지원사업에 한하여 지원 가능), 의약품, 소프트웨어, 대중견기업 제품(판매사가 중소기업이더라도 불가),
서비스 등 무형상품, 자재·부품류 등의 산업재, 청소년 유해물건·약물·매체물 및 기타 법령에 따른 통신판매 제한 금지 품목 등
* 지원사업별 제외조건이 상이할 수 있으므로 자세한 사항은 사업 세부 공고 내용을 확인","○ 지원사업 공고별 상이
* http://www.fanfandaero.kr 참고",https://www.fanfandaero.kr,"○참여기업 사업 신청서, 중소기업 확인서 등
* 사업공고 참고","['중소기업', '판로진출지원', '온라인', '유통채널', 'K-전략품목']"
혁신 소상공인 창업지원,"○ 교육 프로그램
- (창업교육) 기초공통교육 및 유형별 심화교육 진행
- (점포체험 및 멘토링) 창업교육 수료생을 대상으로 체험점포에서 창업경영체험 및 상담,코칭 지원
- (사업화 지원) 사업아이템의 성장성, 시장성 등에 따라 사업화에 소요되는 비용 차등 지원(최대 4천만원)",별도 안내,중소기업통합콜센터/1357,온라인 신청/접수,소상공인시장진흥공단,현금,○ 생활분야에서 창의적인 아이디어로 창업을 하고자 하는 하는 예비창업자,"○ 서류심사(창업자 역량, 창업적성검사, 신용평가등급 등), 면접심사(창업 준비도, 창업마인드 등)",https://www.sbiz24.kr,신사업창업사관학교 교육생 선발 공고 등의 안내사항 참고,"['창업지원', '예비창업자', '교육프로그램', '체험멘토링', '사업화지원', '소상공인', '창의적인아이디어']"
협동화사업 자금 융자,"○ 협동화실천계획 또는 협업사업계획 승인을 얻은 기업에 융자 지원
○ 대출금리 : 정책자금 기준금리(변동)
○ 대출 기간
- 시설자금 10년 이내(거치기간 5년 이내 포함)
- 운전자금 5년 이내(거치기간 2년 포함)
○ 대출한도
- 연간 100억원 이내(운전자금 연간 15억원 이내)",접수기관 별 상이,중소벤처기업진흥공단 지역산업성장처/02-3211-5602,협동화 실천 계획 신청(중소기업이 중소벤처기업진흥공단에 신청) → 서류 및 현장실사(중진공에서 참여 중소기업에 대해서 현장실사) → 사업 타당성 평가(중진공에서 평가) → 협동화 실천 계획 승인(중진공에서 중소기업에 대해서 승인) → 협동화 실천 계획 착수(중소기업에서 착수) → 융자신청(중소기업에서 중진공에 융자신청) → 지원 결정(중진공에서 지원 결정) → 융자 실행(중진공이나 은행에서 중소기업에 대출 실행),중소벤처기업진흥공단,현금(융자),"○ 중소기업 기본법상의 중소기업으로 중소기업 정책자금 융자제외 대상 업종에 해당하지 아니할 것
- 3개 이상의 중소기업이 참여할 것
- 사업을 원활히 추진할 수 있는 대표자(추진 주체)를 선정
- 소요자금의 일정 비율의 자금조달 능력이 있는 중소기업 규합
- 협동화 사업 추진 효과가 있는 협동화 실천 계획을 수립","2024년 중소기업 정책자금 융자공고 상 융자제한기업 등 제외
- 융자제한기업 : 최근 5년 이내 정책자금을 3회 이상 지원받은 기업 등
* (예외자금,방식) 긴급경영안정자금, 스케일업금융('22년까지 투융자복합금융),재도약지원자금, 매출채권팩토링, 동반성장네트워크론, 이차보전
소재·부품·장비 강소기업 100·스타트업 100·경쟁력위원회 추첮기업, 중기부 신산업 스타트업 육성 선정기업
* (신규지원 시 예외대상) 최근 1년간 수출실적 30만 달러 이상 기업('24년에 한함), 소재 부품 장비 강소기업 100, 스타트업 100, 경쟁력 강화위원회 추천기업, 중기부 신산업 스타트업 육성 선정기업",http://www.kosmes.or.kr,중소기업 기업진단 및 정책자금 융자신청서 등,"['중소기업', '자금 융자', '협동화', '대출', '융자지원', '자금조달', '대출금리']"
